GCPA,Greedy,Baseline,Better Baseline
29,21,43,28
28,21,43,26
23,21,43,29
27,21,43,26
26,20,44,28
28,20,44,26
21,20,44,25
30,20,44,27
28,20,44,30
28,20,44,27
27,20,44,28
19,19,30,21
20,19,30,26
30,21,44,25
30,21,44,27
30,21,44,26
30,21,44,25
30,21,44,26
28,21,40,27
26,19,41,27
27,19,39,31
27,19,39,28
27,19,39,27
27,19,39,29
27,19,39,24
27,19,39,27
27,19,39,28
27,19,39,25
27,19,39,27
27,19,39,25
28,22,38,29
19,19,46,27
27,19,46,29
29,19,46,26
19,19,46,23
29,19,46,25
21,19,46,27
27,19,46,27
28,19,46,23
27,19,46,29
19,19,46,30
27,19,46,25
26,19,46,24
27,19,46,27
20,19,46,25
20,19,46,30
26,19,46,30
25,19,46,24
29,19,46,26
26,19,46,28
26,19,46,26
28,20,46,31
26,20,46,29
20,20,46,27
29,20,46,28
28,20,46,28
20,20,46,29
29,19,46,28
21,19,46,28
27,19,46,26
28,19,46,26
27,19,46,24
19,19,46,30
27,19,46,29
26,19,46,25
27,19,46,26
20,19,46,31
20,19,46,27
26,19,46,25
25,19,46,27
29,19,46,27
26,19,46,27
26,19,46,26
27,19,46,25
27,19,46,24
19,19,46,24
27,19,46,29
24,20,46,30
32,20,46,27
28,20,46,26
28,20,46,29
24,20,46,27
24,20,46,28
27,20,46,24
20,20,46,27
27,20,46,29
28,20,46,27
27,20,46,26
27,20,46,27
30,20,46,27
30,21,44,29
29,21,44,29
30,20,46,26
26,20,46,28
30,20,46,31
30,20,46,25
24,20,46,26
28,20,46,26
26,20,46,29
24,20,46,27
28,20,46,27
27,20,46,26
28,20,43,30
28,20,43,29
28,20,43,31
28,20,43,27
28,20,43,27
28,20,43,28
28,20,43,28
28,20,43,29
28,20,43,30
28,20,43,27
28,20,43,29
28,20,43,30
25,19,30,32
30,22,43,27
29,21,44,26
29,21,44,26
29,21,46,30
29,21,46,27
29,21,46,32
29,21,46,29
29,21,46,29
29,21,46,28
26,21,43,31
26,21,43,26
28,20,35,28
28,20,35,25
26,20,41,27
26,20,41,28
28,20,42,29
28,20,42,26
28,20,42,28
28,20,42,28
28,20,42,27
27,22,46,28
28,22,46,27
28,22,46,29
29,22,46,26
30,21,36,26
28,21,36,28
29,21,36,27
29,21,36,27
28,21,36,28
22,21,36,26
29,21,46,29
29,21,46,31
27,22,42,29
29,22,36,30
26,22,36,28
30,22,36,27
29,22,36,28
28,22,36,31
28,22,36,26
29,22,41,29
28,22,41,29
27,22,41,26
27,22,41,28
28,21,41,27
27,22,41,27
26,22,41,29
25,22,41,24
28,22,41,28
28,22,41,30
29,22,41,23
28,22,41,27
28,22,41,26
31,22,41,28
26,22,41,28
26,22,41,33
28,22,41,24
29,22,41,27
28,19,42,28
24,19,42,24
29,19,42,28
26,19,42,27
20,19,42,25
30,19,42,25
29,19,42,25
27,19,30,23
25,19,42,26
26,19,42,28
27,19,42,26
28,19,42,28
23,19,42,27
24,19,42,25
27,20,44,30
27,20,44,24
20,20,44,25
25,20,44,27
22,20,44,32
21,20,44,25
28,20,44,28
28,21,45,26
24,20,43,24
18,1,1,1
28,19,35,25
21,21,43,30
20,19,35,28
27,22,35,25
27,22,35,25
21,20,38,29
29,23,36,29
28,21,38,25
28,21,42,29
26,22,42,26
26,22,42,27
26,22,42,25
26,22,42,28
26,22,42,27
25,21,42,26
25,21,42,29
25,21,42,26
28,19,30,25
25,21,44,26
29,21,44,29
26,21,44,27
30,21,44,30
29,21,44,29
21,21,44,26
28,22,44,25
28,22,44,25
28,22,44,27
28,22,44,25
28,22,44,31
28,22,44,28
28,22,44,27
28,22,44,29
28,22,44,29
28,22,44,26
28,22,44,29
28,22,44,28
28,22,44,28
28,22,44,26
28,22,44,32
28,22,44,27
28,22,44,29
28,22,44,25
28,22,44,27
28,22,44,24
28,22,44,29
28,22,44,31
28,22,44,27
28,22,44,30
28,22,44,29
28,22,44,28
28,22,44,30
28,22,44,25
28,22,44,29
28,22,44,26
28,22,44,29
28,22,44,31
28,22,44,26
28,22,44,30
28,22,44,32
28,22,44,25
28,22,44,26
28,22,44,28
28,22,44,28
28,22,44,29
28,22,44,27
28,22,44,28
28,22,44,29
27,21,35,30
27,21,35,27
27,21,35,26
27,21,35,29
27,21,35,27
27,21,35,27
27,21,35,26
27,21,35,27
27,21,35,28
29,21,40,28
29,21,40,27
29,21,40,29
29,21,40,27
29,21,40,28
29,21,40,27
29,21,40,29
29,21,37,29
28,21,37,28
22,21,37,28
22,21,37,28
27,21,36,26
30,21,38,27
24,23,44,30
26,19,36,25
25,21,42,30
29,21,42,27
28,21,42,27
27,21,42,29
27,21,42,26
28,19,30,26
28,19,30,26
29,20,44,31
28,23,46,29
29,23,46,25
30,20,46,29
24,20,46,26
27,20,46,29
28,20,46,29
26,19,30,24
30,20,43,25
20,20,43,27
29,20,43,28
27,20,43,28
28,20,43,30
25,20,43,27
26,20,43,25
28,19,30,28
28,21,41,29
28,21,41,28
28,21,41,29
28,21,41,28
28,21,41,28
28,21,41,28
28,21,41,27
28,21,41,27
28,21,41,28
28,21,41,30
28,21,41,28
25,21,36,27
25,21,36,30
26,21,36,24
22,21,36,24
28,21,36,30
28,21,36,29
29,21,36,26
27,21,36,29
27,21,44,24
28,20,44,25
28,20,43,29
29,19,41,32
29,19,41,27
29,19,41,28
29,19,41,26
29,19,41,27
29,19,41,29
29,19,41,29
29,19,41,29
29,19,41,27
29,19,41,28
29,19,41,27
29,19,41,27
29,19,41,28
29,19,41,27
29,19,41,32
29,19,41,31
29,19,41,26
29,19,41,29
29,19,41,29
29,19,41,31
29,19,41,29
29,19,41,26
29,19,41,30
29,19,41,33
29,19,41,27
29,19,41,29
29,19,41,27
29,19,41,34
29,19,41,28
29,19,41,29
29,19,41,29
29,19,41,28
29,19,41,29
29,19,41,28
29,19,41,28
29,19,41,26
25,20,39,32
27,20,39,27
24,20,39,25
27,24,46,26
29,24,46,28
28,24,46,26
24,24,46,28
30,24,46,29
27,24,46,26
30,20,42,24
24,22,46,26
28,22,46,30
27,22,46,27
30,22,46,27
26,19,30,24
24,22,46,27
23,20,41,25
27,20,41,26
29,20,41,27
27,19,30,28
24,21,43,25
28,20,41,29
28,20,41,25
27,22,42,29
27,21,42,26
21,21,42,28
27,21,42,28
29,21,42,25
29,21,42,28
25,22,39,26
25,22,39,30
25,22,39,30
25,22,39,27
25,22,39,31
25,22,39,28
25,22,39,27
25,22,39,28
25,22,39,28
25,22,39,27
25,22,39,32
25,22,39,28
26,21,46,28
28,21,46,30
21,21,46,28
27,21,46,28
26,21,46,27
29,21,46,26
26,23,44,27
26,23,44,30
27,20,44,30
27,20,44,28
27,20,44,28
27,20,44,28
27,20,44,30
28,20,41,26
28,20,41,29
23,22,42,27
29,22,42,27
28,22,42,26
23,22,42,29
28,22,42,26
27,22,42,29
28,22,42,27
28,22,42,28
25,22,42,28
26,22,42,28
27,22,37,27
27,22,37,28
27,22,37,27
27,22,37,27
27,22,37,26
27,22,37,30
27,22,37,27
26,21,39,29
31,21,39,27
28,22,42,24
28,22,42,27
25,22,42,27
27,22,42,28
28,22,42,29
22,22,42,29
27,22,42,27
26,22,42,30
27,22,42,27
22,22,42,26
24,22,42,27
27,22,42,26
28,22,42,27
28,23,43,30
28,23,43,29
27,21,44,28
27,21,44,26
19,19,42,27
27,19,42,23
28,19,42,24
30,19,42,27
23,19,42,25
28,20,44,26
28,20,44,27
28,20,44,28
28,20,44,29
28,20,44,29
28,20,44,25
28,20,44,24
28,20,44,25
28,20,44,25
28,20,44,26
27,20,38,28
27,20,38,30
27,20,38,29
27,20,38,25
27,20,38,29
31,21,34,28
26,21,34,28
27,21,34,25
28,20,38,26
28,20,38,28
28,20,38,28
28,20,38,24
28,20,38,31
28,20,38,27
26,21,36,30
27,22,33,26
30,22,33,26
27,22,33,25
29,22,33,26
26,22,33,30
26,23,36,25
25,22,34,28
28,20,35,26
29,20,35,27
20,20,35,26
29,20,35,26
25,20,35,26
24,20,35,27
27,20,35,28
24,20,35,26
21,21,44,26
26,20,39,26
28,20,39,24
26,20,39,28
20,20,39,28
24,20,39,24
27,20,39,26
28,20,39,32
28,20,39,25
31,20,39,30
27,19,30,29
27,21,37,25
26,20,45,26
26,20,45,28
26,20,45,29
26,21,43,29
29,21,43,27
24,21,43,25
22,21,43,27
29,21,43,28
28,21,43,27
27,21,43,28
25,21,43,26
28,22,43,29
28,22,43,27
26,22,43,28
28,22,43,31
22,22,43,28
28,22,39,27
28,22,39,27
28,22,39,26
24,22,36,26
29,20,34,25
28,20,34,28
25,20,34,26
20,20,34,27
28,20,34,26
28,20,34,26
26,20,34,29
20,20,34,26
22,20,34,28
28,20,34,30
26,20,34,27
20,20,34,25
26,20,34,28
27,20,34,29
29,20,34,26
26,20,34,24
20,20,34,25
29,20,34,28
29,20,34,28
20,20,34,28
31,21,34,27
28,21,46,25
29,21,46,25
25,21,46,28
26,21,46,30
22,21,46,25
30,21,46,27
29,22,46,28
27,22,46,28
28,22,46,27
28,22,46,24
27,22,46,28
24,22,46,29
26,22,46,29
27,22,46,28
32,22,46,27
27,22,46,29
29,22,46,28
27,22,46,25
27,20,44,26
27,20,44,28
27,20,44,27
27,20,43,30
28,20,43,28
20,20,43,27
28,20,43,26
29,20,43,26
28,20,43,26
28,21,35,28
28,21,35,27
26,20,34,28
29,20,34,28
29,20,34,25
29,20,34,25
25,21,43,25
27,21,43,26
29,21,42,27
29,21,42,25
29,21,42,27
30,21,42,28
27,21,42,25
26,21,42,31
27,21,42,27
27,21,42,27
27,21,42,27
28,21,42,29
29,21,42,29
29,21,42,26
28,21,42,29
24,21,42,26
27,21,42,27
28,21,42,27
28,21,42,25
28,21,42,28
27,21,42,27
28,21,42,26
25,21,42,27
26,21,42,28
28,21,43,29
27,21,43,30
24,21,43,25
28,21,43,26
30,21,43,29
26,19,43,27
26,19,43,27
25,20,41,28
25,20,41,29
25,20,41,27
25,20,41,26
25,20,41,25
25,20,41,27
25,20,41,28
25,20,41,27
25,20,41,26
25,20,41,27
28,21,43,33
28,21,43,27
28,21,43,28
28,21,43,30
28,21,43,27
28,21,43,28
28,21,43,31
28,21,43,25
28,19,44,25
30,19,44,25
27,19,44,25
26,19,44,26
29,19,44,25
29,20,44,25
29,20,44,28
29,20,44,27
29,20,44,29
29,20,44,28
29,20,44,25
29,20,44,28
29,20,44,30
28,22,46,28
28,22,46,26
28,22,46,23
26,22,46,29
29,22,46,26
26,22,46,30
27,22,46,28
29,22,46,29
28,22,46,24
24,22,46,28
26,22,46,28
29,22,46,26
27,22,46,28
25,22,46,29
28,22,46,28
26,22,46,28
24,22,46,27
29,22,46,24
28,22,46,27
28,21,40,28
28,21,40,29
21,21,36,25
28,20,37,23
26,20,39,30
28,21,40,27
29,20,41,28
22,20,40,24
26,21,43,28
28,22,33,27
29,20,32,26
26,21,41,28
19,1,1,1
27,19,37,31
28,23,47,27
25,22,41,28
24,12,27,19
29,19,36,26
29,22,33,28
28,20,44,27
18,18,40,28
29,19,43,26
21,19,43,32
29,19,43,30
26,21,36,27
26,21,41,28
26,16,31,19
27,21,41,29
22,1,1,1
26,16,31,22
19,15,35,22
22,1,1,1
20,1,1,1
26,16,31,20
26,21,41,27
26,21,41,27
18,3,7,5
27,20,36,29
28,20,38,30
28,20,38,28
28,20,40,29
28,20,40,25
28,20,40,27
28,20,40,28
18,1,1,1
20,1,1,1
25,20,37,24
23,9,22,10
23,9,22,9
29,21,36,26
29,21,36,32
28,21,35,28
31,24,38,28
31,24,38,30
28,21,36,26
22,1,1,1
2,2,3,2
24,22,40,26
29,22,40,27
22,21,35,25
19,19,37,30
20,20,40,27
20,6,9,7
22,9,23,18
22,9,23,15
22,9,23,10
22,9,23,16
24,21,43,26
24,21,43,26
28,21,30,24
27,19,37,30
28,20,37,25
28,19,35,28
24,19,35,28
19,19,35,29
29,19,35,26
21,19,35,30
25,19,35,27
26,19,35,29
22,19,35,28
25,20,43,28
22,20,43,26
23,20,43,26
24,20,43,26
29,20,43,26
20,20,43,28
24,21,38,27
26,20,42,30
26,21,43,28
26,22,41,28
28,20,31,24
27,21,39,29
21,21,39,27
2,1,2,2
28,19,36,29
27,21,44,26
25,21,44,24
25,21,44,28
28,19,36,32
28,19,36,27
30,22,41,27
29,21,35,28
29,23,43,29
26,20,36,26
28,19,38,28
24,22,46,29
29,19,38,27
1,1,1,1
23,5,8,7
25,21,43,29
25,21,43,25
25,21,43,29
30,21,43,26
28,22,38,27
26,22,44,28
27,22,44,28
29,21,43,27
25,22,44,28
28,21,43,30
27,21,43,27
29,21,44,28
31,21,43,28
28,21,43,29
27,21,41,28
30,21,43,27
25,22,44,28
26,22,44,26
24,22,43,25
25,21,43,31
25,21,43,27
28,22,41,29
28,22,41,28
30,21,42,28
28,22,38,27
28,22,38,26
23,1,1,1
24,21,43,25
24,21,43,27
24,21,43,29
25,20,41,24
25,20,41,24
25,20,41,27
25,20,41,29
25,20,41,28
25,20,41,28
25,20,41,26
25,20,41,28
25,20,41,27
25,20,41,29
26,22,41,27
29,22,41,25
24,22,46,28
26,21,37,29
25,20,42,28
27,19,41,28
25,20,42,29
26,18,36,27
23,4,11,4
27,21,42,29
22,4,10,7
4,4,7,5
23,11,33,17
28,20,40,28
27,18,36,25
26,18,38,23
23,21,35,29
24,21,46,27
21,2,2,2
20,2,2,2
28,21,42,29
26,23,37,29
22,4,10,5
26,18,38,26
27,21,35,27
5,1,1,1
23,14,32,20
20,1,1,1
23,14,32,19
26,8,17,10
23,14,32,22
24,8,17,11
29,21,43,28
29,20,38,27
28,21,42,29
26,20,42,27
27,22,38,29
26,22,38,24
28,22,38,29
25,21,43,29
27,21,43,27
28,20,41,26
24,21,43,29
27,21,43,27
27,21,41,25
12,1,1,1
23,1,1,1
10,1,1,1
22,1,1,1
19,2,2,2
25,9,24,12
28,21,41,28
28,21,41,26
26,21,43,24
25,21,43,28
25,21,41,28
28,21,43,27
28,21,43,30
28,21,43,28
28,21,43,28
28,21,43,29
28,21,43,28
28,21,43,29
28,21,43,30
26,22,35,25
21,21,43,29
28,21,43,29
24,21,43,26
28,21,43,30
30,21,37,26
18,1,1,1
19,1,1,1
19,2,3,2
21,12,28,14
26,20,37,29
21,12,28,14
21,12,28,16
27,21,34,29
27,20,34,27
28,21,42,25
28,21,42,28
28,21,42,26
29,19,44,22
28,19,44,27
25,20,36,25
20,20,41,24
26,22,37,28
29,23,35,27
28,19,37,28
29,19,37,28
26,19,37,25
30,19,37,25
28,19,37,27
25,19,37,25
25,19,36,27
25,19,36,28
25,19,36,24
25,19,36,26
26,21,35,28
27,20,44,29
28,20,44,28
20,20,44,29
29,21,37,30
22,22,44,28
25,21,40,27
28,19,41,27
28,19,41,26
30,23,41,25
27,23,41,27
26,21,43,28
28,23,41,25
23,23,41,30
23,21,32,29
23,21,32,27
23,22,38,25
27,22,40,25
30,23,35,27
30,23,35,27
28,20,35,27
26,20,35,26
29,19,41,28
23,20,36,29
28,20,39,26
20,20,39,30
25,20,39,26
22,20,39,25
26,21,35,22
27,22,39,24
26,22,39,28
22,20,30,29
28,20,30,29
20,20,45,27
20,20,37,25
20,20,37,31
20,20,37,31
20,20,37,28
20,20,37,28
20,20,37,34
26,20,35,30
30,21,34,27
28,21,43,28
26,21,43,29
25,20,36,24
28,20,44,27
27,20,33,24
28,19,42,30
28,20,35,27
29,20,35,28
27,22,43,27
26,21,42,28
30,21,42,28
21,21,42,27
25,21,42,33
29,21,42,27
30,21,42,29
29,21,42,30
26,21,42,28
27,22,40,26
29,20,41,27
26,20,41,26
29,20,41,26
31,20,41,28
27,20,41,31
27,21,40,24
27,22,40,27
27,22,40,26
27,22,40,23
28,23,41,27
28,23,41,26
28,23,41,25
28,23,41,26
28,23,41,25
29,18,35,28
29,18,35,29
28,18,35,28
26,18,35,31
27,21,44,28
29,21,44,25
27,20,35,29
27,20,35,27
27,20,35,25
26,21,43,27
23,19,38,28
27,23,41,28
23,1,1,1
26,20,41,29
27,21,41,29
27,22,39,30
27,21,44,28
27,21,44,28
26,19,38,28
26,21,41,28
30,21,38,29
29,21,38,29
25,19,43,30
22,19,43,29
26,21,43,25
24,20,40,27
26,20,41,27
29,21,44,26
26,21,36,30
27,21,36,30
11,2,4,2
28,22,46,29
28,22,46,25
21,21,46,27
20,18,43,26
29,19,40,26
29,19,40,26
29,21,41,25
21,21,41,28
27,22,42,32
27,19,39,27
29,21,44,27
26,21,44,31
26,21,44,27
23,21,44,25
24,21,44,30
28,21,44,29
24,21,44,26
28,20,44,28
28,20,44,30
28,20,44,28
27,20,44,27
24,22,41,28
29,22,41,27
29,21,41,29
20,1,1,1
27,20,45,23
24,23,41,24
30,21,42,29
30,21,42,28
26,19,37,31
25,22,42,26
29,22,42,29
21,22,42,29
25,22,42,29
26,22,42,28
23,22,42,27
24,22,42,27
29,22,42,27
27,22,42,29
28,22,42,30
27,22,42,25
27,22,42,28
22,22,42,26
29,22,42,26
28,22,33,31
26,22,43,25
28,20,33,25
28,20,33,30
28,18,34,24
25,21,40,27
22,21,41,29
27,21,41,29
26,21,41,29
22,21,41,29
27,21,38,27
30,22,38,27
26,21,38,26
27,20,33,26
27,20,33,27
28,20,36,28
16,1,1,1
19,2,3,3
18,2,2,2
25,22,43,25
25,22,43,26
25,22,43,29
25,22,43,27
25,22,43,29
25,22,43,25
25,22,43,29
27,18,36,29
27,22,39,26
27,22,44,27
27,22,42,28
27,21,44,27
27,22,42,28
27,19,30,26
27,21,36,29
25,22,43,26
25,22,43,28
25,19,43,27
25,19,43,27
25,22,43,28
25,22,43,29
25,22,43,26
25,22,43,31
25,22,43,30
25,22,43,27
25,22,43,25
25,22,43,28
25,22,43,30
25,22,43,24
25,22,43,31
27,22,44,27
28,21,46,26
25,22,43,24
25,22,43,27
27,22,36,29
27,21,33,28
25,22,41,26
26,10,27,18
25,22,43,29
25,22,43,31
21,1,1,1
25,22,43,28
25,22,43,27
25,22,43,25
29,22,41,28
25,22,43,30
25,22,43,30
25,22,43,27
25,22,43,30
25,22,43,29
25,22,43,26
22,1,1,1
25,22,43,29
27,19,37,26
25,22,43,30
27,21,39,26
25,22,43,27
26,20,40,28
25,22,43,26
29,20,40,25
30,21,38,26
25,22,43,28
28,20,40,27
19,5,9,5
20,2,3,2
25,22,43,27
25,22,43,30
25,22,43,27
25,22,43,26
25,22,43,28
25,22,43,26
25,22,43,26
25,22,43,30
25,22,43,23
25,21,41,22
25,22,43,28
25,22,43,29
25,22,43,26
25,22,43,25
25,22,43,26
19,19,36,29
19,19,36,24
25,22,43,26
25,22,43,29
25,22,43,27
25,22,43,28
27,22,39,27
31,22,46,26
22,21,38,26
28,19,43,28
26,23,38,25
19,19,36,29
27,22,43,28
25,22,43,27
25,22,43,27
25,22,43,29
25,22,43,28
25,22,43,29
25,22,43,27
29,20,41,26
28,21,43,25
26,15,32,20
25,22,43,29
25,22,43,29
25,22,43,30
25,22,43,25
25,22,43,28
19,19,36,27
25,22,43,31
25,22,43,27
19,19,36,26
25,22,43,30
25,22,43,28
25,22,43,28
25,22,43,25
25,22,43,26
25,22,43,25
25,22,43,26
25,22,43,27
25,22,43,27
25,22,43,27
25,22,43,29
25,22,43,28
30,21,38,30
25,22,43,28
30,21,38,25
25,22,43,26
30,21,38,29
25,22,43,28
25,22,43,29
25,22,43,30
29,22,46,25
21,22,46,29
25,22,43,25
25,22,43,28
25,22,43,28
25,22,43,27
25,22,43,27
25,22,43,28
25,22,43,30
25,22,43,26
25,22,43,31
25,22,43,26
21,21,44,28
29,20,41,29
25,22,43,27
20,1,1,1
19,19,36,25
25,22,43,25
25,22,43,26
28,21,43,29
25,22,43,25
25,22,43,29
25,22,43,26
25,22,43,28
25,22,43,27
25,22,43,27
25,22,43,28
29,20,41,28
29,21,38,25
13,1,1,1
22,1,1,1
21,1,1,1
20,1,1,1
21,1,1,1
17,1,1,1
20,6,9,7
30,21,44,29
29,21,37,26
27,21,37,27
28,21,37,26
27,20,37,29
20,1,1,1
21,1,1,1
23,18,42,23
23,18,42,22
23,7,15,9
21,1,1,1
21,1,1,1
27,20,44,28
28,22,38,30
24,21,36,26
30,21,41,29
21,1,1,1
16,1,1,1
20,1,1,1
18,1,1,1
20,1,1,1
21,1,1,1
1,1,1,1
28,21,33,25
27,21,33,28
28,22,38,29
24,14,42,19
29,20,41,30
27,22,41,28
27,22,41,26
28,22,41,25
28,23,41,25
22,23,41,27
22,1,1,1
20,7,15,9
25,22,41,29
21,1,2,2
21,1,1,1
19,1,1,1
21,1,1,1
21,1,1,1
23,1,1,1
1,1,1,1
10,1,1,1
20,1,1,1
20,1,1,1
19,1,1,1
16,1,1,1
21,1,1,1
30,20,40,23
26,21,41,26
27,20,36,28
28,20,36,30
22,1,1,1
21,1,1,1
19,1,1,1
23,2,3,3
26,18,38,25
26,18,38,24
26,18,38,24
18,1,1,1
21,1,1,1
19,1,1,1
9,9,21,14
29,20,40,27
29,20,40,25
11,11,28,13
20,3,8,6
1,1,3,2
15,1,1,1
29,18,45,23
28,18,45,24
27,22,37,30
20,1,1,1
20,1,1,1
1,1,1,1
12,1,1,1
20,1,1,1
27,22,41,27
30,20,38,24
26,20,38,31
19,2,6,3
28,21,39,26
8,3,6,3
1,1,1,1
26,22,43,28
28,20,46,24
26,20,43,27
26,20,43,26
24,22,35,29
28,21,36,29
28,21,36,31
25,21,41,26
29,23,41,26
21,3,6,4
23,6,17,10
29,20,41,28
26,21,33,26
29,21,33,28
30,21,33,26
26,21,41,26
29,22,37,29
27,22,37,29
25,18,35,23
28,22,38,28
30,21,33,30
28,20,40,28
29,21,41,24
14,1,1,1
20,1,1,1
5,5,12,5
26,23,35,26
27,21,46,26
1,1,1,1
8,1,1,1
20,1,1,1
4,1,1,1
18,1,1,1
21,1,1,1
21,1,1,1
23,1,1,1
18,1,1,1
15,1,1,1
14,14,42,17
18,1,1,1
3,1,1,1
1,1,1,1
21,3,5,4
21,8,15,9
26,21,41,30
27,20,41,24
27,20,41,27
28,19,39,27
27,20,36,26
28,21,41,29
27,21,39,27
18,1,1,1
22,1,1,1
21,1,1,1
26,21,41,26
12,7,12,9
19,1,1,1
25,19,38,27
29,21,41,28
22,20,42,29
28,21,41,29
24,15,43,21
28,15,43,22
1,1,1,1
28,21,37,29
26,20,44,28
29,21,44,27
28,15,43,22
29,21,44,25
22,1,1,1
21,1,1,1
23,1,1,1
21,21,41,27
26,20,44,25
26,22,33,27
27,20,41,27
28,18,38,27
24,20,40,30
18,1,1,1
16,2,3,3
29,22,34,28
22,22,37,29
22,22,37,28
25,20,41,28
27,22,39,27
30,20,41,30
28,22,40,28
26,22,40,27
28,20,36,24
21,1,1,1
9,1,1,1
20,2,3,2
29,20,36,31
24,14,37,21
12,2,3,3
22,2,6,2
7,2,6,3
2,2,6,3
16,2,6,2
19,1,1,1
21,1,1,1
10,1,1,1
20,2,2,2
18,1,1,1
17,2,3,3
14,9,22,12
26,22,46,24
23,15,41,21
23,15,41,26
21,2,3,2
1,1,1,1
3,3,4,3
30,20,42,27
20,20,44,28
28,20,44,27
29,20,38,27
26,14,24,20
24,18,41,23
24,18,41,24
20,1,1,1
18,1,1,1
28,21,41,24
28,21,41,24
11,1,1,1
24,6,14,9
24,10,28,13
24,10,28,12
24,10,28,14
25,21,42,29
19,7,16,9
27,20,42,25
20,1,1,1
20,1,1,1
24,21,36,26
28,23,40,28
24,21,40,26
28,22,43,28
29,22,43,28
23,22,40,26
24,20,40,24
28,21,40,27
23,21,39,27
27,21,39,28
30,22,42,26
26,20,41,27
20,20,41,26
20,20,41,25
28,22,43,26
25,21,43,28
22,22,40,27
25,20,40,28
25,20,40,27
28,20,39,24
28,20,39,23
28,20,39,25
27,21,39,29
26,21,39,27
20,1,1,1
29,20,40,29
28,22,42,31
25,22,42,26
29,21,40,28
27,21,40,27
27,21,40,27
27,19,45,25
27,19,45,27
26,21,40,27
28,20,37,26
26,20,43,29
23,21,41,21
29,21,38,26
29,21,38,26
29,21,44,27
28,21,44,28
21,21,44,25
24,19,41,28
30,19,41,28
20,19,41,24
27,20,47,27
27,20,47,25
27,20,41,23
25,21,38,29
21,21,38,25
26,21,38,29
25,23,40,22
27,22,44,27
25,21,38,27
27,23,40,28
26,21,37,25
28,21,38,29
26,21,38,27
26,21,41,28
23,21,41,27
28,21,41,29
2,2,2,2
25,20,34,26
25,20,34,28
19,2,2,2
20,1,1,1
26,21,45,28
29,20,39,26
29,20,36,27
28,23,41,26
29,21,41,26
25,22,43,25
24,22,43,25
28,20,39,27
19,2,2,2
25,20,41,26
27,20,41,27
27,20,41,25
21,2,2,2
19,2,2,2
23,2,2,2
2,2,2,2
21,2,2,2
16,2,2,2
28,20,41,24
25,20,41,29
28,21,37,30
24,21,37,27
25,10,29,12
24,10,29,15
20,10,29,16
24,10,29,12
13,10,29,14
25,10,29,17
24,10,29,11
23,10,29,13
24,10,29,15
20,10,29,12
30,20,37,28
21,19,36,29
19,19,36,26
27,21,36,29
26,21,36,27
24,21,36,31
25,21,36,27
26,21,36,29
28,21,36,25
19,2,2,2
14,2,2,2
24,2,3,3
25,22,41,28
27,19,41,24
25,19,41,28
26,20,41,29
28,20,43,26
28,20,43,26
28,20,43,29
24,21,41,25
25,21,41,30
24,2,2,2
28,21,43,29
26,24,41,24
26,24,41,27
27,23,43,28
28,21,41,27
28,21,41,28
27,21,41,31
25,21,41,29
29,21,41,25
28,20,42,23
25,20,42,24
26,22,38,25
29,22,38,29
23,21,43,25
26,20,41,26
26,24,41,27
26,24,41,24
27,21,41,25
20,21,41,26
28,21,41,26
30,19,46,26
29,19,46,29
28,20,41,25
27,23,43,29
22,18,43,30
29,21,42,27
31,20,36,32
26,20,40,29
24,20,40,28
26,21,38,28
28,22,41,27
27,22,41,24
26,21,44,30
26,20,45,28
27,20,43,29
28,20,43,25
28,21,44,27
28,20,43,29
26,20,43,27
29,21,41,27
21,2,3,3
22,2,2,2
28,21,43,28
3,2,2,2
28,21,39,28
22,21,43,27
22,21,41,31
21,2,4,3
19,2,4,2
21,2,4,3
29,21,39,26
30,21,39,26
28,20,37,32
29,21,37,30
23,21,37,26
20,20,37,23
29,21,39,29
24,22,36,25
14,7,16,9
27,21,36,25
28,21,37,24
30,20,40,30
28,21,44,28
28,21,44,29
28,21,44,30
29,21,44,26
19,19,41,27
25,19,41,25
30,21,38,30
22,21,38,27
26,20,46,27
29,19,41,24
23,20,41,26
28,20,41,30
26,19,41,24
26,19,41,28
26,19,41,26
24,12,33,14
28,21,38,27
27,20,40,27
25,20,38,27
25,20,38,28
27,22,41,25
29,22,41,25
6,1,1,1
26,22,41,25
28,22,41,31
28,21,43,26
21,20,37,28
24,20,37,31
31,20,37,26
4,3,5,4
20,1,1,1
20,1,1,1
22,1,1,1
21,1,1,1
21,21,47,25
19,19,37,28
22,19,37,25
19,19,37,29
22,19,37,26
26,19,37,29
28,19,37,24
28,19,37,26
28,19,37,27
27,19,37,27
23,19,37,29
29,19,37,29
22,19,37,28
19,19,37,25
27,19,37,28
29,19,37,25
19,19,37,25
26,19,37,30
27,19,37,27
26,19,37,26
22,19,37,30
29,19,37,28
25,19,37,27
30,19,37,25
23,19,37,29
19,19,37,29
29,19,37,30
29,19,37,28
29,19,37,27
19,19,37,26
21,19,37,27
30,19,37,27
25,19,37,30
19,19,37,26
28,19,37,26
26,19,37,27
27,19,37,28
27,19,37,25
21,1,1,1
16,1,1,1
22,1,1,1
28,20,45,28
28,20,45,26
28,20,45,27
28,20,45,25
29,19,37,28
29,22,38,30
29,19,37,25
22,19,37,27
27,19,37,24
28,20,36,29
26,21,43,27
26,21,43,27
27,20,38,25
25,22,37,30
25,22,37,27
28,22,37,28
27,22,37,28
29,22,41,30
