GCPA,Greedy,Baseline,Better Baseline
28,21,38,29
20,20,42,26
25,21,46,27
27,21,46,28
27,22,46,29
26,22,46,28
26,22,41,28
27,21,33,26
27,22,44,28
26,21,37,25
24,24,35,27
24,24,35,29
29,24,35,26
29,21,41,29
29,20,45,25
28,21,35,29
27,21,44,25
26,18,38,28
29,18,38,25
29,20,45,28
29,20,45,28
28,20,42,29
27,21,44,32
28,24,35,27
29,24,35,26
28,24,35,26
22,24,35,27
27,20,39,31
21,20,42,28
26,20,33,28
28,20,39,27
29,21,34,26
26,21,35,28
27,21,35,27
28,20,37,24
25,20,37,24
28,24,35,26
29,24,35,29
30,24,35,29
24,24,35,27
28,23,38,29
26,22,35,25
26,20,38,24
29,19,34,27
30,24,35,29
27,22,43,28
28,20,33,29
29,24,35,30
27,22,41,25
27,22,41,27
29,21,35,26
29,21,35,29
29,21,35,26
24,23,45,30
25,21,36,24
26,22,35,28
25,20,40,27
25,20,40,27
28,20,33,28
29,21,40,29
29,22,41,29
29,20,36,27
24,20,35,30
24,20,35,28
26,20,35,28
28,22,43,28
26,22,43,27
24,21,35,30
28,21,35,25
27,20,36,26
29,20,41,29
31,20,44,27
20,20,44,26
29,20,44,26
27,20,44,25
26,23,41,32
27,20,40,27
28,20,40,28
27,19,39,27
28,22,41,29
25,22,34,26
27,19,41,25
24,19,41,26
26,20,39,28
24,21,39,27
29,21,39,25
27,20,44,25
21,20,44,24
26,21,43,30
26,20,44,28
28,22,40,26
22,21,44,28
25,21,40,28
29,23,43,25
29,20,38,29
29,20,38,24
28,20,38,27
23,20,38,24
28,20,38,25
25,23,34,29
28,23,43,28
26,20,43,24
26,20,43,30
28,19,43,27
28,19,43,31
25,23,34,31
25,23,34,30
26,21,38,28
28,22,36,27
26,22,36,27
28,22,36,28
28,22,36,28
27,22,36,26
26,22,36,26
25,22,36,28
28,22,36,28
28,22,36,25
27,21,42,26
25,21,37,28
25,21,37,27
29,23,35,28
27,22,39,30
28,22,39,26
28,22,39,30
27,22,39,27
27,22,39,28
27,19,44,28
27,19,37,24
27,19,37,26
27,19,37,25
27,22,36,27
27,19,35,26
27,20,41,27
28,20,41,29
20,4,9,4
29,20,43,26
28,20,41,28
30,21,43,29
26,21,43,27
26,22,36,26
27,22,36,28
28,20,45,29
24,20,41,31
30,19,46,24
30,19,46,26
30,19,46,25
30,19,46,28
30,19,46,27
20,20,44,33
26,22,38,29
27,22,41,27
29,19,37,27
29,19,37,27
29,19,37,26
28,21,38,24
21,21,38,27
22,1,2,2
29,23,43,29
29,23,43,30
29,23,43,31
27,20,36,25
26,21,43,29
27,21,46,29
26,20,45,25
27,20,45,28
20,20,45,26
29,20,45,24
20,20,45,25
25,20,45,26
29,23,43,29
29,23,43,30
29,23,43,31
27,22,43,29
26,22,43,28
22,22,43,27
20,22,43,32
21,21,43,27
28,21,43,29
22,1,1,1
26,21,36,27
26,20,41,28
26,20,41,26
29,22,38,26
27,19,30,23
27,19,36,26
19,19,36,25
25,19,39,27
25,19,39,26
25,19,39,27
25,19,39,24
25,19,39,26
27,19,41,28
30,19,41,26
23,11,27,16
25,19,30,30
29,21,38,26
21,21,37,27
26,22,43,29
32,22,43,27
26,20,44,26
28,19,33,27
24,19,33,27
26,21,43,30
31,20,46,29
25,19,40,25
27,20,46,31
29,21,46,28
29,20,46,28
27,21,46,28
29,20,46,26
24,19,39,24
21,23,39,25
27,19,39,27
22,19,39,27
20,23,39,28
29,21,43,30
30,20,44,27
22,11,18,11
28,20,36,28
28,20,36,25
28,22,37,26
29,22,37,26
28,20,36,25
26,22,42,29
28,22,37,31
29,20,46,25
29,20,46,30
29,22,37,27
29,22,37,26
29,22,37,28
29,22,37,31
29,22,37,26
27,22,37,26
22,22,37,27
29,21,42,26
27,22,37,28
22,22,37,29
27,21,40,29
27,20,37,27
27,20,37,28
29,20,46,25
22,22,37,27
28,22,37,28
26,20,39,29
30,22,39,29
23,22,39,28
26,22,37,27
31,22,37,28
25,21,38,27
25,21,38,28
27,21,38,26
23,21,39,30
21,20,35,27
28,21,38,29
22,10,22,14
22,10,22,14
29,22,37,30
22,22,37,26
29,22,39,26
27,22,39,29
29,20,43,30
32,20,43,25
27,20,43,31
29,20,46,24
29,20,46,29
29,20,46,27
29,20,46,26
29,20,46,30
27,21,46,30
29,19,39,26
26,23,38,29
25,20,41,27
28,20,40,26
28,20,40,28
27,22,43,28
27,22,43,27
22,18,40,25
28,20,39,26
26,22,37,32
29,22,37,26
27,21,41,24
22,22,40,27
28,22,40,27
30,22,40,27
19,19,40,25
20,19,40,28
29,19,40,29
29,19,40,26
27,19,40,27
22,22,37,25
29,22,37,27
29,22,37,30
26,22,37,26
25,19,34,24
29,21,34,25
28,21,34,24
25,21,34,26
29,21,34,27
27,21,34,30
29,20,46,27
28,22,38,25
30,21,39,26
30,21,39,30
30,21,39,27
30,21,39,27
30,21,39,29
22,19,43,26
28,20,39,27
27,21,39,30
31,19,43,29
19,19,43,27
29,22,44,31
26,22,44,26
27,22,44,27
26,20,39,29
28,21,38,28
28,21,38,27
29,22,37,30
28,21,41,27
27,21,41,26
27,21,36,28
28,20,41,27
27,21,41,29
23,20,38,28
28,21,38,28
26,21,41,29
26,22,38,27
26,22,38,25
26,22,38,29
27,19,44,25
27,19,44,27
27,20,44,28
26,22,39,27
26,22,39,27
29,20,46,27
29,20,46,28
24,21,42,27
27,20,46,27
28,20,43,26
29,22,36,29
27,22,39,26
29,21,44,29
26,20,35,30
26,20,35,26
26,20,35,30
27,19,35,27
28,21,35,25
30,19,37,26
26,21,41,28
26,21,41,28
30,19,44,27
25,21,41,28
24,21,41,26
25,22,41,26
24,21,41,27
24,21,41,27
26,20,35,30
26,20,35,30
28,20,43,27
29,20,46,29
26,21,46,30
29,20,46,29
28,22,41,28
30,22,43,28
27,23,46,29
22,22,46,25
27,20,46,27
29,20,46,27
27,20,46,27
28,21,42,26
28,21,37,27
26,22,38,27
30,21,37,26
26,22,38,27
29,20,38,25
28,20,37,27
20,2,3,2
24,22,38,26
26,21,37,27
28,21,45,25
26,20,35,28
25,22,38,26
29,20,46,26
27,20,46,29
27,20,46,26
28,18,46,25
28,21,43,24
29,20,46,28
26,20,35,25
29,19,32,26
28,19,32,25
26,20,37,30
27,19,37,25
30,19,37,24
29,19,41,27
27,19,41,25
28,21,41,26
28,21,43,30
29,20,46,29
22,21,42,29
28,21,42,29
27,20,46,26
27,19,46,27
26,19,46,26
28,21,43,28
29,20,46,28
28,21,36,28
26,20,35,29
29,21,38,26
28,20,38,28
30,21,38,29
29,21,38,28
25,21,38,27
22,23,42,27
26,23,42,27
27,21,34,27
29,21,43,28
27,20,43,25
29,19,46,30
27,22,43,29
27,20,36,27
28,19,46,29
30,21,35,27
25,20,35,30
28,20,44,27
27,20,42,30
25,19,46,26
26,20,43,26
24,22,42,26
27,21,39,32
27,22,43,29
28,22,39,29
30,21,43,31
28,21,37,27
27,22,41,30
28,22,43,27
24,22,43,28
28,20,36,24
30,21,41,28
23,21,41,28
26,21,41,26
24,21,41,29
24,21,41,29
28,20,43,31
28,21,44,26
21,20,43,25
27,20,39,30
24,21,43,26
29,21,43,26
28,21,43,27
26,21,43,27
25,20,43,22
27,20,39,26
22,14,28,17
29,23,42,27
31,20,43,28
22,20,43,30
25,20,43,24
23,13,33,19
29,20,37,27
7,7,18,8
27,23,41,27
27,20,37,28
26,20,37,24
28,20,37,27
28,18,43,27
29,22,39,31
21,21,41,25
22,21,41,29
27,21,37,32
28,21,37,28
28,21,37,27
28,21,37,27
30,21,37,32
28,21,37,27
27,21,37,28
27,21,37,31
27,23,41,27
30,20,41,31
27,20,41,29
29,19,30,25
28,19,30,25
25,19,30,31
30,21,41,28
29,21,41,28
22,22,41,27
26,22,41,26
28,22,41,29
28,22,41,29
28,22,41,27
27,22,41,31
22,22,41,29
28,22,41,25
28,22,41,32
26,22,41,28
29,22,41,30
26,22,41,28
27,22,41,28
33,22,41,30
30,22,41,28
27,22,41,28
26,20,37,29
26,20,37,26
28,20,37,26
30,20,37,26
26,21,37,28
30,21,37,28
27,21,37,30
25,21,37,26
28,21,37,28
27,21,37,28
29,21,37,27
27,21,37,27
26,20,37,25
20,20,37,28
20,19,41,29
25,21,43,29
29,20,37,27
26,20,37,26
29,20,37,24
27,20,37,28
20,20,41,25
26,20,43,27
26,20,43,28
26,20,43,30
25,22,43,24
21,21,41,28
27,21,41,27
29,21,41,29
27,21,41,27
29,19,30,23
28,17,40,26
19,17,40,24
28,21,37,30
27,21,37,28
28,21,37,27
28,21,37,29
21,21,37,29
20,20,37,28
29,20,37,26
26,20,37,28
28,20,37,26
20,20,37,26
23,15,37,19
25,20,37,27
29,20,37,29
29,20,37,27
26,20,37,27
28,20,37,25
23,21,41,26
22,9,21,10
28,18,38,26
25,9,21,9
27,20,38,31
27,21,37,29
28,21,37,30
28,22,36,26
22,21,37,28
27,21,37,26
22,19,38,29
27,22,35,30
21,20,41,27
29,20,38,27
31,22,40,29
21,20,41,28
28,22,41,28
19,1,1,1
25,21,39,28
25,19,36,28
29,18,32,29
22,22,30,28
29,21,43,28
30,21,43,25
27,23,35,26
25,19,43,29
27,21,41,24
27,21,41,27
27,21,41,28
27,21,41,28
29,20,43,30
29,20,43,24
29,20,43,25
28,20,43,27
27,20,43,26
27,21,41,29
27,21,41,27
27,21,41,27
27,21,41,25
18,5,7,5
29,21,37,30
28,21,41,27
27,19,36,29
27,19,36,28
27,19,36,28
24,21,44,29
27,21,44,28
26,21,44,28
27,21,44,25
28,21,44,30
28,20,44,29
28,19,41,26
29,19,37,28
28,19,37,25
27,19,37,27
28,20,39,28
26,20,41,28
29,20,41,28
20,20,41,23
26,21,36,29
28,20,41,27
33,22,41,31
30,22,41,31
27,22,41,24
26,14,24,18
26,14,24,15
26,14,24,18
22,2,2,2
19,1,1,1
30,22,43,28
30,22,43,28
30,22,43,28
20,1,1,1
20,1,1,1
18,1,1,1
29,22,41,29
24,21,41,25
25,21,41,28
28,21,41,26
28,20,41,25
26,14,24,17
22,22,41,26
22,22,46,29
25,22,41,27
24,20,35,28
30,21,42,26
20,1,1,1
27,21,39,29
27,21,39,30
28,21,42,27
28,21,43,24
25,21,43,26
25,21,43,27
21,6,13,8
25,22,41,28
27,21,40,26
29,21,40,30
